Record Date,Type of Account,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
31-05-2022,Treasury General Account (TGA) Opening Balance,null,782309,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,31
31-05-2022,Total TGA Deposits (Table II),null,326209,2039321,16267804,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,31
31-05-2022,Total TGA Withdrawals (Table II) (-),null,254279,2108321,15628724,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,31
31-05-2022,Treasury General Account (TGA) Closing Balance,null,854240,854240,854240,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,31
27-05-2022,Treasury General Account (TGA) Opening Balance,null,762674,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,27
27-05-2022,Total TGA Deposits (Table II),null,37763,1713112,15941595,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,27
27-05-2022,Total TGA Withdrawals (Table II) (-),null,18128,1854043,15374445,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,27
27-05-2022,Treasury General Account (TGA) Closing Balance,null,782309,782309,782309,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,27
26-05-2022,Treasury General Account (TGA) Opening Balance,null,801714,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,26
26-05-2022,Total TGA Deposits (Table II),null,106577,1675349,15903832,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,26
26-05-2022,Total TGA Withdrawals (Table II) (-),null,145616,1835915,15356318,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,26
26-05-2022,Treasury General Account (TGA) Closing Balance,null,762674,762674,762674,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,26
25-05-2022,Treasury General Account (TGA) Opening Balance,null,818688,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,25
25-05-2022,Total TGA Deposits (Table II),null,20748,1568772,15797255,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,25
25-05-2022,Total TGA Withdrawals (Table II) (-),null,37723,1690299,15210701,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,25
25-05-2022,Treasury General Account (TGA) Closing Balance,null,801714,801714,801714,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,25
24-05-2022,Treasury General Account (TGA) Opening Balance,null,838141,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,24
24-05-2022,Total TGA Deposits (Table II),null,110393,1548024,15776507,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,24
24-05-2022,Total TGA Withdrawals (Table II) (-),null,129845,1652576,15172979,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,24
24-05-2022,Treasury General Account (TGA) Closing Balance,null,818688,818688,818688,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,24
23-05-2022,Treasury General Account (TGA) Opening Balance,null,822339,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,23
23-05-2022,Total TGA Deposits (Table II),null,31390,1437631,15666114,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,23
23-05-2022,Total TGA Withdrawals (Table II) (-),null,15588,1522731,15043134,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,23
23-05-2022,Treasury General Account (TGA) Closing Balance,null,838141,838141,838141,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,23
20-05-2022,Treasury General Account (TGA) Opening Balance,null,825182,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,20
20-05-2022,Total TGA Deposits (Table II),null,14147,1406242,15634725,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,20
20-05-2022,Total TGA Withdrawals (Table II) (-),null,16990,1507143,15027545,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,20
20-05-2022,Treasury General Account (TGA) Closing Balance,null,822339,822339,822339,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,20
19-05-2022,Treasury General Account (TGA) Opening Balance,null,866726,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,19
19-05-2022,Total TGA Deposits (Table II),null,147528,1392094,15620577,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,19
19-05-2022,Total TGA Withdrawals (Table II) (-),null,189072,1490153,15010555,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,19
19-05-2022,Treasury General Account (TGA) Closing Balance,null,825182,825182,825182,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,19
18-05-2022,Treasury General Account (TGA) Opening Balance,null,891271,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,18
18-05-2022,Total TGA Deposits (Table II),null,20920,1244567,15473049,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,18
18-05-2022,Total TGA Withdrawals (Table II) (-),null,45465,1301081,14821484,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,18
18-05-2022,Treasury General Account (TGA) Closing Balance,null,866726,866726,866726,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,18
17-05-2022,Treasury General Account (TGA) Opening Balance,null,914571,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,17
17-05-2022,Total TGA Deposits (Table II),null,112781,1223647,15452130,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,17
17-05-2022,Total TGA Withdrawals (Table II) (-),null,136080,1255616,14776018,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,17
17-05-2022,Treasury General Account (TGA) Closing Balance,null,891271,891271,891271,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,17
16-05-2022,Treasury General Account (TGA) Opening Balance,null,880792,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,16
16-05-2022,Total TGA Deposits (Table II),null,219419,1110866,15339349,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,16
16-05-2022,Total TGA Withdrawals (Table II) (-),null,185640,1119536,14639938,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,16
16-05-2022,Treasury General Account (TGA) Closing Balance,null,914571,914571,914571,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,16
13-05-2022,Treasury General Account (TGA) Opening Balance,null,893803,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,13
13-05-2022,Total TGA Deposits (Table II),null,19828,883046,15021400,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,13
13-05-2022,Total TGA Withdrawals (Table II) (-),null,32840,925494,14355768,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,13
13-05-2022,Treasury General Account (TGA) Closing Balance,null,880792,880792,880792,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,13
12-05-2022,Treasury General Account (TGA) Opening Balance,null,919331,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,12
12-05-2022,Total TGA Deposits (Table II),null,111351,863218,15001572,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,12
12-05-2022,Total TGA Withdrawals (Table II) (-),null,136879,892655,14322928,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,12
12-05-2022,Treasury General Account (TGA) Closing Balance,null,893803,893803,893803,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,12
11-05-2022,Treasury General Account (TGA) Opening Balance,null,941766,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,11
11-05-2022,Total TGA Deposits (Table II),null,23358,751866,14890221,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,11
11-05-2022,Total TGA Withdrawals (Table II) (-),null,45793,755776,14186049,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,11
11-05-2022,Treasury General Account (TGA) Closing Balance,null,919331,919331,919331,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,11
10-05-2022,Treasury General Account (TGA) Opening Balance,null,962928,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,10
10-05-2022,Total TGA Deposits (Table II),null,114618,728508,14866862,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,10
10-05-2022,Total TGA Withdrawals (Table II) (-),null,135780,709983,14140256,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,10
10-05-2022,Treasury General Account (TGA) Closing Balance,null,941766,941766,941766,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,10
09-05-2022,Treasury General Account (TGA) Opening Balance,null,950700,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,9
09-05-2022,Total TGA Deposits (Table II),null,30207,613890,14752244,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,9
09-05-2022,Total TGA Withdrawals (Table II) (-),null,17980,574203,14004476,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,9
09-05-2022,Treasury General Account (TGA) Closing Balance,null,962928,962928,962928,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,9
06-05-2022,Treasury General Account (TGA) Opening Balance,null,943481,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,6
06-05-2022,Total TGA Deposits (Table II),null,20257,583683,14722037,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,6
06-05-2022,Total TGA Withdrawals (Table II) (-),null,13037,556223,13986497,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,6
06-05-2022,Treasury General Account (TGA) Closing Balance,null,950700,950700,950700,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,6
05-05-2022,Treasury General Account (TGA) Opening Balance,null,964412,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,5
05-05-2022,Total TGA Deposits (Table II),null,120903,563426,14701780,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,5
05-05-2022,Total TGA Withdrawals (Table II) (-),null,141833,543185,13973459,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,5
05-05-2022,Treasury General Account (TGA) Closing Balance,null,943481,943481,943481,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,5
04-05-2022,Treasury General Account (TGA) Opening Balance,null,955262,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,4
04-05-2022,Total TGA Deposits (Table II),null,31087,442523,14580878,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,4
04-05-2022,Total TGA Withdrawals (Table II) (-),null,21937,401352,13831626,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,4
04-05-2022,Treasury General Account (TGA) Closing Balance,null,964412,964412,964412,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,4
03-05-2022,Treasury General Account (TGA) Opening Balance,null,975018,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,3
03-05-2022,Total TGA Deposits (Table II),null,138540,411437,14549791,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,3
03-05-2022,Total TGA Withdrawals (Table II) (-),null,158297,379415,13809689,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,3
03-05-2022,Treasury General Account (TGA) Closing Balance,null,955262,955262,955262,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,3
02-05-2022,Treasury General Account (TGA) Opening Balance,null,923240,923240,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,5,2
02-05-2022,Total TGA Deposits (Table II),null,272896,272896,14411250,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,5,2
02-05-2022,Total TGA Withdrawals (Table II) (-),null,221118,221118,13651392,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,5,2
02-05-2022,Treasury General Account (TGA) Closing Balance,null,975018,975018,975018,I,Operating Cash Balance,Cash Balance Details,4,2022,3,2022,2,5,2
29-04-2022,Treasury General Account (TGA) Opening Balance,null,953933,651523,215160,I,Operating Cash Balance,Cash Balance Details,1,2022,3,2022,2,4,29
29-04-2022,Total TGA Deposits (Table II),null,55353,2049897,14138354,I,Operating Cash Balance,Cash Balance Details,2,2022,3,2022,2,4,29
29-04-2022,Total TGA Withdrawals (Table II) (-),null,86046,1778179,13430274,I,Operating Cash Balance,Cash Balance Details,3,2022,3,2022,2,4,29
