"","Closing_Balance_Today","Opening_Balance_Today","Opening_Balance_This_Month","Opening_Balance_This_Fiscal_Year","Fiscal_Year","Fiscal_Quarter_Number","Calender_Year","Calender_Quarter_Number","Calender_Month_Number","Calender_Day_Number"
"1",632974.467777014,623265.792665952,717306.805243638,229091.33203549,2022.02865758523,3.01051889164131,6.02427331311204,2.02805598012668,4.92987663171065,30.9080270711311
"2",677775.808924466,669783.737777133,762706.264685835,221346.863325829,2022.02297748901,3.00729837573472,6.01800516300616,2.02718767973872,4.93088196429592,27.0032202596329
"3",452901.109660352,446360.344821619,553155.127427269,233982.972164717,2022.04892346321,3.01721916275342,6.04632542853792,2.02761130145923,4.94847509608178,25.9318613551235
"4",592149.212278359,585572.985427439,684680.718592513,230248.716165507,2022.03251251014,3.01186536735524,6.02886185592963,2.02646798421044,4.93818872658887,24.9096901784339
"5",523586.716403161,517702.935950873,621067.128231805,227656.893785833,2022.04047346331,3.01352457267159,6.03710555852866,2.02699619179521,4.94533321591024,23.990503917357
"6",272907.060027298,268606.397174247,387449.82057729,243251.170167647,2022.06937777855,3.02490156797445,6.06876306027355,2.02736044109123,4.96456894983974,22.8869235303223
"7",544657.950952256,540770.120332846,644966.529432033,233384.026772138,2022.03725406305,3.01387782282144,6.03445995223761,2.02505426608173,4.94585678841349,19.8842413332217
"8",556256.92924374,552713.416414709,656357.753995269,225772.935306394,2022.03592435571,3.01188015840935,6.03255147998327,2.02537166133061,4.9471258903392,18.998503438467
"9",317454.653201567,315448.343389107,433876.389416999,241008.80912553,2022.06344278093,3.02279540482082,6.06272459310223,2.02566815612074,4.96541968119352,17.8937213467967
"10",572647.009923982,570122.692242842,673971.459296762,231441.287779625,2022.03355949885,3.01244887406476,6.03065053867723,2.02408471476012,4.94637090193204,16.897130902461
"11",549934.749176933,547902.417585498,653253.284319615,225887.472445582,2022.03620864217,3.01199751103988,6.03308277535243,2.02450097831795,4.95017170790319,15.9985322307938
"12",277673.04584949,278301.253956532,401294.507166435,242274.64720611,2022.06732429737,3.02416792332827,6.06727487813871,2.02436560024104,4.9727796405302,12.8936520168285
"13",542436.127340511,542520.42672734,650407.14072471,233172.790486607,2022.03630604326,3.01360613244711,6.03404356305497,2.02265605325885,4.95283204161085,11.8840355521893
"14",565318.847394606,565699.843201762,672361.757778015,224949.143368374,2022.03366628734,3.01111324891999,6.03071088272849,2.02293486735578,4.95325669512444,11.001504127392
"15",317386.956446452,319339.866258992,441318.367522893,240420.968924975,2022.06225093999,3.0223752036003,6.06202294354672,2.02328718935926,4.97228184217012,9.89827759613616
"16",578212.333892319,579629.897824008,686712.530249514,230985.180884421,2022.03170308924,3.01187239203031,6.0292604328153,2.02164301771603,4.95273042352561,8.89629533740035
"17",553397.268851941,556298.536893323,665874.634973015,224929.194577042,2022.03430776303,3.01131015739488,6.03175640943639,2.02151557178108,4.95848967841318,6.00572960973808
"18",257769.982194047,262440.913360885,390166.566447482,242749.404329301,2022.06843569639,3.02461530284747,6.06907607215489,2.02205379977604,4.98112886397191,4.89279859396759
"19",535681.719043721,539758.875423599,651610.902354547,233316.250893865,2022.03588163404,3.01355594779594,6.034204860677,2.02026304123166,4.9601263712505,3.88080552321803
"20",536419.619099842,540873.608394677,652781.248686508,225388.990524845,2022.03583478983,3.01184668729488,6.03362060566734,2.02070342393381,4.96237613776104,3.00645726758778
"21",266740.489557227,272867.946901484,401417.956013419,242705.856777628,2022.06692825371,3.02420118830649,6.06771176950028,2.02106712514931,4.98290566778727,1.8864316435758
"22",488334.722791418,480134.546675508,580861.554992593,221431.601628354,2021.99301179868,3.00154003966627,6.02765281459189,1.86297597601538,4.43520570677604,28.9326086331243
"23",515394.432084704,507477.332464664,606742.500769756,213253.729877207,2021.98988050699,2.99892048213384,6.02380695818578,1.86321467735416,4.43526726266386,28.0469086512214
"24",281998.99050777,275592.031454191,389305.865087687,227907.560439598,2022.01677816729,3.00953846463971,6.0532827754188,1.86352003210936,4.45320988453679,26.9482741540533
"25",548199.688361956,541235.001268108,639733.401601701,218200.605349358,2021.98560574017,2.99880403198045,6.0198428669352,1.86185552491398,4.43325236483014,25.947489510087
"26",503888.28338257,497492.69037571,598738.900458034,212864.224312575,2021.99078563388,2.99910209034139,6.02495211474884,1.86243616686227,4.43884658783882,25.0580174470788
"27",205379.643654671,201764.542704371,322245.419358306,231300.463639117,2022.02493349021,3.01255416522593,6.06248918947199,1.86233136817989,4.46330310861102,21.9357027303724
"28",513208.146215224,508873.158278174,611697.234436273,220253.23296028,2021.98890583336,3.00018390656323,6.02384246728755,1.86043737085731,4.44005986292753,20.9320511844862
"29",537220.044994835,533166.683536501,634667.821592528,211267.700809669,2021.98615190717,2.99749584973702,6.02033118787573,1.86077872690388,4.44052983484492,20.0610372677481
"30",277339.868804075,274915.726183417,392466.371336742,227855.843780712,2022.01611246174,3.00937939699056,6.05317541745622,1.8611275741127,4.46036249766925,18.9469409543508
"31",632713.936341224,629376.316017751,726456.670732278,214708.096135181,2021.97455312702,2.99502235166519,6.00855234975904,1.85902546071934,4.433472002164,17.9491199406505
"32",777691.388398164,775136.844648722,864635.49002443,200519.540208735,2021.9574185832,2.98723378135735,5.98967336949657,1.85821463618052,4.42632335206576,15.0894652720797
"33",566400.930545729,565248.689871984,667834.613199435,212984.354889166,2021.98177373995,2.99667605854535,6.01630821698278,1.85853815039694,4.44279496037261,14.0129184959358
"34",546000.952994553,545432.443552185,649686.182625387,214206.148255821,2021.98398767638,2.99755760853678,6.01880397712525,1.85829240554951,4.44514389196785,13.0046842431802
"35",552991.032108597,552889.956799881,657176.440049336,213893.342052323,2021.98302276452,2.99722715619333,6.01784017131193,1.85795752904002,4.44545185361985,12.0049954773952
"36",552240.91446041,552635.410547876,657402.557076105,213692.796061638,2021.9829639341,2.9971724017627,6.0178374586191,1.85767830369698,4.44639613451339,11.0080284579083
"37",543121.020991245,545040.011368177,651684.987763346,214061.583395972,2021.98357056304,2.99743381791255,6.01872714662554,1.85680748357159,4.44963235606297,8.00562614250187
"38",542941.159547233,545356.368283069,652457.14241851,214037.694221612,2021.98344050906,2.99739718854907,6.01866314860482,1.85650663037434,4.45049548799583,7.00550312151086
"39",542201.978998399,545115.000831501,652702.62860295,213992.103621772,2021.98337665036,2.99737428484831,6.01866706547301,1.85621262440157,4.45141012603953,6.00605325260932
"40",553628.802597575,556992.530342942,664354.357788524,213574.175232883,2021.98189335037,2.99687732541668,6.01715025352749,1.85584971279281,4.45136089991912,5.00545599729312
"41",562048.030345726,565868.696506239,673164.712065603,212880.268761513,2021.98076984734,2.99642106516925,6.01599043422314,1.85553871763845,4.45161815125335,4.01102409629444
"42",585773.769274045,590988.41275803,698228.26176024,212016.906407469,2021.97754976857,2.9953554669388,6.01276279168798,1.8545033744745,4.45229419310052,1.00915061958395
"43",638522.254508027,628530.525323263,706193.644984754,219630.001889136,2022.03086610684,2.00643172659607,5.98269400100932,1.19912014993606,2.38106734650214,30.9855057218879
"44",606212.566009891,596856.446745788,676902.261435121,221608.169329101,2022.03446011328,2.00785879759302,5.98669863367336,1.19890471601696,2.38428721904526,29.9721317294185
"45",619524.74535219,610610.859385881,690316.927832451,221052.826266615,2022.03275876972,2.00727180569732,5.98494205075457,1.19853868157827,2.38410339520503,28.9726306356027
"46",626667.781059332,618216.169164855,697932.360795412,220424.778420947,2022.03178351596,2.00687084362089,5.98394313330153,1.19823237424784,2.38445678773947,27.9778907638251
