"","Record_Date","Type_of_Account","Closing_Balance_Today","Opening_Balance_Today","Opening_Balance_This_Month","Opening_Balance_This_Fiscal_Year","Fiscal_Year","Fiscal_Quarter_Number","Calender_Year","Calender_Quarter_Number","Calender_Month_Number","Calender_Day_Number"
"1",2022-05-31,"Treasury General Account (TGA)",215239,854240,923240,215160,2022,"3","2022","2",5,31
"2",2022-05-27,"Treasury General Account (TGA)",854240,345844,923240,215160,2022,"3","2022","2",5,27
"3",2022-05-26,"Treasury General Account (TGA)",345844,215239,923240,215160,2022,"3","2022","2",5,26
"4",2022-05-25,"Treasury General Account (TGA)",215239,745700,923240,215160,2022,"3","2022","2",5,25
"5",2022-05-24,"Treasury General Account (TGA)",745700,18310,923240,215160,2022,"3","2022","2",5,24
"6",2022-05-23,"Treasury General Account (TGA)",18310,33930,923240,215160,2022,"3","2022","2",5,23
"7",2022-05-20,"Treasury General Account (TGA)",33930,798871,923240,215160,2022,"3","2022","2",5,20
"8",2022-05-19,"Treasury General Account (TGA)",798871,65033,923240,215160,2022,"3","2022","2",5,19
"9",2022-05-18,"Treasury General Account (TGA)",65033,121071,923240,215160,2022,"3","2022","2",5,18
"10",2022-05-17,"Treasury General Account (TGA)",121071,795388,923240,215160,2022,"3","2022","2",5,17
"11",2022-05-16,"Treasury General Account (TGA)",795388,54527,923240,215160,2022,"3","2022","2",5,16
"12",2022-05-13,"Treasury General Account (TGA)",54527,24712,923240,215160,2022,"3","2022","2",5,13
"13",2022-05-12,"Treasury General Account (TGA)",24712,812613,923240,215160,2022,"3","2022","2",5,12
"14",2022-05-11,"Treasury General Account (TGA)",812613,87958,923240,215160,2022,"3","2022","2",5,11
"15",2022-05-10,"Treasury General Account (TGA)",87958,108683,923240,215160,2022,"3","2022","2",5,10
"16",2022-05-09,"Treasury General Account (TGA)",108683,834567,923240,215160,2022,"3","2022","2",5,9
"17",2022-05-06,"Treasury General Account (TGA)",834567,38609,923240,215160,2022,"3","2022","2",5,6
"18",2022-05-05,"Treasury General Account (TGA)",38609,-5343,923240,215160,2022,"3","2022","2",5,5
"19",2022-05-04,"Treasury General Account (TGA)",-5343,834332,923240,215160,2022,"3","2022","2",5,4
"20",2022-05-03,"Treasury General Account (TGA)",834332,-5609,923240,215160,2022,"3","2022","2",5,3
"21",2022-05-02,"Treasury General Account (TGA)",-5609,68768,923240,215160,2022,"3","2022","2",5,2
"22",2022-04-29,"Treasury General Account (TGA)",68768,836033,651523,215160,2022,"3","2022","2",4,29
"23",2022-04-28,"Treasury General Account (TGA)",836033,144042,651523,215160,2022,"3","2022","2",4,28
"24",2022-04-27,"Treasury General Account (TGA)",144042,173498,651523,215160,2022,"3","2022","2",4,27
"25",2022-04-26,"Treasury General Account (TGA)",173498,905973,651523,215160,2022,"3","2022","2",4,26
"26",2022-04-25,"Treasury General Account (TGA)",905973,44973,651523,215160,2022,"3","2022","2",4,25
"27",2022-04-22,"Treasury General Account (TGA)",44973,60826,651523,215160,2022,"3","2022","2",4,22
"28",2022-04-21,"Treasury General Account (TGA)",60826,925922,651523,215160,2022,"3","2022","2",4,21
"29",2022-04-20,"Treasury General Account (TGA)",925922,126956,651523,215160,2022,"3","2022","2",4,20
"30",2022-04-19,"Treasury General Account (TGA)",126956,188178,651523,215160,2022,"3","2022","2",4,19
"31",2022-04-18,"Treasury General Account (TGA)",188178,1143572,651523,215160,2022,"3","2022","2",4,18
"32",2022-04-15,"Treasury General Account (TGA)",1143572,602292,651523,215160,2022,"3","2022","2",4,15
"33",2022-04-14,"Treasury General Account (TGA)",602292,543536,651523,215160,2022,"3","2022","2",4,14
"34",2022-04-13,"Treasury General Account (TGA)",543536,545611,651523,215160,2022,"3","2022","2",4,13
"35",2022-04-12,"Treasury General Account (TGA)",545611,564856,651523,215160,2022,"3","2022","2",4,12
"36",2022-04-11,"Treasury General Account (TGA)",564856,544736,651523,215160,2022,"3","2022","2",4,11
"37",2022-04-08,"Treasury General Account (TGA)",544736,542946,651523,215160,2022,"3","2022","2",4,8
"38",2022-04-07,"Treasury General Account (TGA)",542946,545584,651523,215160,2022,"3","2022","2",4,7
"39",2022-04-06,"Treasury General Account (TGA)",545584,542176,651523,215160,2022,"3","2022","2",4,6
"40",2022-04-05,"Treasury General Account (TGA)",542176,579607,651523,215160,2022,"3","2022","2",4,5
"41",2022-04-04,"Treasury General Account (TGA)",579607,567423,651523,215160,2022,"3","2022","2",4,4
"42",2022-04-01,"Treasury General Account (TGA)",567423,651523,651523,215160,2022,"3","2022","2",4,1
"43",2022-03-31,"Treasury General Account (TGA)",651523,556791,771264,215160,2022,"2","2022","1",3,31
"44",2022-03-30,"Treasury General Account (TGA)",556791,560968,771264,215160,2022,"2","2022","1",3,30
"45",2022-03-29,"Treasury General Account (TGA)",560968,596168,771264,215160,2022,"2","2022","1",3,29
"46",2022-03-28,"Treasury General Account (TGA)",596168,582578,771264,215160,2022,"2","2022","1",3,28
"47",2022-03-25,"Treasury General Account (TGA)",582578,563796,771264,215160,2022,"2","2022","1",3,25
"48",2022-03-24,"Treasury General Account (TGA)",563796,576442,771264,215160,2022,"2","2022","1",3,24
"49",2022-03-23,"Treasury General Account (TGA)",576442,607762,771264,215160,2022,"2","2022","1",3,23
"50",2022-03-22,"Treasury General Account (TGA)",607762,626636,771264,215160,2022,"2","2022","1",3,22
"51",2022-03-21,"Treasury General Account (TGA)",626636,622418,771264,215160,2022,"2","2022","1",3,21
"52",2022-03-18,"Treasury General Account (TGA)",622418,624216,771264,215160,2022,"2","2022","1",3,18
"53",2022-03-17,"Treasury General Account (TGA)",624216,621527,771264,215160,2022,"2","2022","1",3,17
"54",2022-03-16,"Treasury General Account (TGA)",621527,629614,771264,215160,2022,"2","2022","1",3,16
"55",2022-03-15,"Treasury General Account (TGA)",629614,567360,771264,215160,2022,"2","2022","1",3,15
"56",2022-03-14,"Treasury General Account (TGA)",567360,544592,771264,215160,2022,"2","2022","1",3,14
"57",2022-03-11,"Treasury General Account (TGA)",544592,541965,771264,215160,2022,"2","2022","1",3,11
"58",2022-03-10,"Treasury General Account (TGA)",541965,609369,771264,215160,2022,"2","2022","1",3,10
"59",2022-03-09,"Treasury General Account (TGA)",609369,645312,771264,215160,2022,"2","2022","1",3,9
"60",2022-03-08,"Treasury General Account (TGA)",645312,673387,771264,215160,2022,"2","2022","1",3,8
"61",2022-03-07,"Treasury General Account (TGA)",673387,658241,771264,215160,2022,"2","2022","1",3,7
"62",2022-03-04,"Treasury General Account (TGA)",658241,661486,771264,215160,2022,"2","2022","1",3,4
"63",2022-03-03,"Treasury General Account (TGA)",661486,685491,771264,215160,2022,"2","2022","1",3,3
"64",2022-03-02,"Treasury General Account (TGA)",685491,699674,771264,215160,2022,"2","2022","1",3,2
"65",2022-03-01,"Treasury General Account (TGA)",699674,771264,771264,215160,2022,"2","2022","1",3,1
"66",2022-02-28,"Treasury General Account (TGA)",771264,661184,742843,215160,2022,"2","2022","1",2,28
"67",2022-02-25,"Treasury General Account (TGA)",661184,640342,742843,215160,2022,"2","2022","1",2,25
"68",2022-02-24,"Treasury General Account (TGA)",640342,674797,742843,215160,2022,"2","2022","1",2,24
"69",2022-02-23,"Treasury General Account (TGA)",674797,695704,742843,215160,2022,"2","2022","1",2,23
"70",2022-02-22,"Treasury General Account (TGA)",695704,702252,742843,215160,2022,"2","2022","1",2,22
"71",2022-02-18,"Treasury General Account (TGA)",702252,705359,742843,215160,2022,"2","2022","1",2,18
"72",2022-02-17,"Treasury General Account (TGA)",705359,709261,742843,215160,2022,"2","2022","1",2,17
"73",2022-02-16,"Treasury General Account (TGA)",709261,718597,742843,215160,2022,"2","2022","1",2,16
"74",2022-02-15,"Treasury General Account (TGA)",718597,699135,742843,215160,2022,"2","2022","1",2,15
"75",2022-02-14,"Treasury General Account (TGA)",699135,682930,742843,215160,2022,"2","2022","1",2,14
"76",2022-02-11,"Treasury General Account (TGA)",682930,672004,742843,215160,2022,"2","2022","1",2,11
"77",2022-02-10,"Treasury General Account (TGA)",672004,679019,742843,215160,2022,"2","2022","1",2,10
"78",2022-02-09,"Treasury General Account (TGA)",679019,703228,742843,215160,2022,"2","2022","1",2,9
"79",2022-02-08,"Treasury General Account (TGA)",703228,691711,742843,215160,2022,"2","2022","1",2,8
"80",2022-02-07,"Treasury General Account (TGA)",691711,682002,742843,215160,2022,"2","2022","1",2,7
"81",2022-02-04,"Treasury General Account (TGA)",682002,684721,742843,215160,2022,"2","2022","1",2,4
"82",2022-02-03,"Treasury General Account (TGA)",684721,710267,742843,215160,2022,"2","2022","1",2,3
"83",2022-02-02,"Treasury General Account (TGA)",710267,708705,742843,215160,2022,"2","2022","1",2,2
"84",2022-02-01,"Treasury General Account (TGA)",708705,742843,742843,215160,2022,"2","2022","1",2,1
"85",2022-01-31,"Treasury General Account (TGA)",742843,642334,406108,215160,2022,"2","2022","1",1,31
"86",2022-01-28,"Treasury General Account (TGA)",642334,641597,406108,215160,2022,"2","2022","1",1,28
"87",2022-01-27,"Treasury General Account (TGA)",641597,639620,406108,215160,2022,"2","2022","1",1,27
"88",2022-01-26,"Treasury General Account (TGA)",639620,646920,406108,215160,2022,"2","2022","1",1,26
"89",2022-01-25,"Treasury General Account (TGA)",646920,619699,406108,215160,2022,"2","2022","1",1,25
"90",2022-01-24,"Treasury General Account (TGA)",619699,598929,406108,215160,2022,"2","2022","1",1,24
"91",2022-01-21,"Treasury General Account (TGA)",598929,601115,406108,215160,2022,"2","2022","1",1,21
