,Closing_Balance_Today,Opening_Balance_Today,Opening_Balance_This_Month,Opening_Balance_This_Fiscal_Year,Fiscal_Year,Fiscal_Quarter_Number,Calender_Year,Calender_Quarter_Number,Calender_Month_Number,Calender_Day_Number
1,215239,854240,923240,215160,2022,3,2022,2,5,31
2,854240,345844,923240,215160,2022,3,2022,2,5,27
3,345844,215239,923240,215160,2022,3,2022,2,5,26
4,215239,745700,923240,215160,2022,3,2022,2,5,25
5,745700,18310,923240,215160,2022,3,2022,2,5,24
6,18310,33930,923240,215160,2022,3,2022,2,5,23
7,33930,798871,923240,215160,2022,3,2022,2,5,20
8,798871,65033,923240,215160,2022,3,2022,2,5,19
9,65033,121071,923240,215160,2022,3,2022,2,5,18
10,121071,795388,923240,215160,2022,3,2022,2,5,17
11,795388,54527,923240,215160,2022,3,2022,2,5,16
12,54527,24712,923240,215160,2022,3,2022,2,5,13
13,24712,812613,923240,215160,2022,3,2022,2,5,12
14,812613,87958,923240,215160,2022,3,2022,2,5,11
15,87958,108683,923240,215160,2022,3,2022,2,5,10
16,108683,834567,923240,215160,2022,3,2022,2,5,9
17,834567,38609,923240,215160,2022,3,2022,2,5,6
18,38609,-5343,923240,215160,2022,3,2022,2,5,5
19,-5343,834332,923240,215160,2022,3,2022,2,5,4
20,834332,-5609,923240,215160,2022,3,2022,2,5,3
21,-5609,68768,923240,215160,2022,3,2022,2,5,2
22,68768,836033,651523,215160,2022,3,2022,2,4,29
23,836033,144042,651523,215160,2022,3,2022,2,4,28
24,144042,173498,651523,215160,2022,3,2022,2,4,27
25,173498,905973,651523,215160,2022,3,2022,2,4,26
26,905973,44973,651523,215160,2022,3,2022,2,4,25
27,44973,60826,651523,215160,2022,3,2022,2,4,22
28,60826,925922,651523,215160,2022,3,2022,2,4,21
29,925922,126956,651523,215160,2022,3,2022,2,4,20
30,126956,188178,651523,215160,2022,3,2022,2,4,19
31,188178,1143572,651523,215160,2022,3,2022,2,4,18
32,1143572,602292,651523,215160,2022,3,2022,2,4,15
33,602292,543536,651523,215160,2022,3,2022,2,4,14
34,543536,545611,651523,215160,2022,3,2022,2,4,13
35,545611,564856,651523,215160,2022,3,2022,2,4,12
36,564856,544736,651523,215160,2022,3,2022,2,4,11
37,544736,542946,651523,215160,2022,3,2022,2,4,8
38,542946,545584,651523,215160,2022,3,2022,2,4,7
39,545584,542176,651523,215160,2022,3,2022,2,4,6
40,542176,579607,651523,215160,2022,3,2022,2,4,5
41,579607,567423,651523,215160,2022,3,2022,2,4,4
42,567423,651523,651523,215160,2022,3,2022,2,4,1
43,651523,556791,771264,215160,2022,2,2022,1,3,31
44,556791,560968,771264,215160,2022,2,2022,1,3,30
45,560968,596168,771264,215160,2022,2,2022,1,3,29
46,596168,582578,771264,215160,2022,2,2022,1,3,28
47,582578,563796,771264,215160,2022,2,2022,1,3,25
48,563796,576442,771264,215160,2022,2,2022,1,3,24
49,576442,607762,771264,215160,2022,2,2022,1,3,23
50,607762,626636,771264,215160,2022,2,2022,1,3,22
51,626636,622418,771264,215160,2022,2,2022,1,3,21
52,622418,624216,771264,215160,2022,2,2022,1,3,18
53,624216,621527,771264,215160,2022,2,2022,1,3,17
54,621527,629614,771264,215160,2022,2,2022,1,3,16
55,629614,567360,771264,215160,2022,2,2022,1,3,15
56,567360,544592,771264,215160,2022,2,2022,1,3,14
57,544592,541965,771264,215160,2022,2,2022,1,3,11
58,541965,609369,771264,215160,2022,2,2022,1,3,10
59,609369,645312,771264,215160,2022,2,2022,1,3,9
60,645312,673387,771264,215160,2022,2,2022,1,3,8
61,673387,658241,771264,215160,2022,2,2022,1,3,7
62,658241,661486,771264,215160,2022,2,2022,1,3,4
63,661486,685491,771264,215160,2022,2,2022,1,3,3
64,685491,699674,771264,215160,2022,2,2022,1,3,2
65,699674,771264,771264,215160,2022,2,2022,1,3,1
66,771264,661184,742843,215160,2022,2,2022,1,2,28
67,661184,640342,742843,215160,2022,2,2022,1,2,25
68,640342,674797,742843,215160,2022,2,2022,1,2,24
69,674797,695704,742843,215160,2022,2,2022,1,2,23
70,695704,702252,742843,215160,2022,2,2022,1,2,22
71,702252,705359,742843,215160,2022,2,2022,1,2,18
72,705359,709261,742843,215160,2022,2,2022,1,2,17
73,709261,718597,742843,215160,2022,2,2022,1,2,16
74,718597,699135,742843,215160,2022,2,2022,1,2,15
75,699135,682930,742843,215160,2022,2,2022,1,2,14
76,682930,672004,742843,215160,2022,2,2022,1,2,11
77,672004,679019,742843,215160,2022,2,2022,1,2,10
78,679019,703228,742843,215160,2022,2,2022,1,2,9
79,703228,691711,742843,215160,2022,2,2022,1,2,8
80,691711,682002,742843,215160,2022,2,2022,1,2,7
81,682002,684721,742843,215160,2022,2,2022,1,2,4
82,684721,710267,742843,215160,2022,2,2022,1,2,3
83,710267,708705,742843,215160,2022,2,2022,1,2,2
84,708705,742843,742843,215160,2022,2,2022,1,2,1
85,742843,642334,406108,215160,2022,2,2022,1,1,31
86,642334,641597,406108,215160,2022,2,2022,1,1,28
87,641597,639620,406108,215160,2022,2,2022,1,1,27
88,639620,646920,406108,215160,2022,2,2022,1,1,26
89,646920,619699,406108,215160,2022,2,2022,1,1,25
90,619699,598929,406108,215160,2022,2,2022,1,1,24
91,598929,601115,406108,215160,2022,2,2022,1,1,21
92,601115,580171,406108,215160,2022,2,2022,1,1,20
93,580171,586619,406108,215160,2022,2,2022,1,1,19
94,586619,453239,406108,215160,2022,2,2022,1,1,18
95,453239,441135,406108,215160,2022,2,2022,1,1,14
96,441135,489679,406108,215160,2022,2,2022,1,1,13
97,489679,507352,406108,215160,2022,2,2022,1,1,12
98,507352,447887,406108,215160,2022,2,2022,1,1,11
99,447887,436443,406108,215160,2022,2,2022,1,1,10
100,436443,440561,406108,215160,2022,2,2022,1,1,7
101,440561,434757,406108,215160,2022,2,2022,1,1,6
102,434757,424696,406108,215160,2022,2,2022,1,1,5
103,424696,366304,406108,215160,2022,2,2022,1,1,4
104,366304,406108,406108,215160,2022,2,2022,1,1,3
105,406108,284174,213153,215160,2022,1,2021,4,12,31
106,284174,283995,213153,215160,2022,1,2021,4,12,30
107,283995,268208,213153,215160,2022,1,2021,4,12,29
108,268208,202813,213153,215160,2022,1,2021,4,12,28
109,202813,183671,213153,215160,2022,1,2021,4,12,27
110,183671,176914,213153,215160,2022,1,2021,4,12,24
111,176914,197516,213153,215160,2022,1,2021,4,12,23
112,197516,146518,213153,215160,2022,1,2021,4,12,22
113,146518,64905,213153,215160,2022,1,2021,4,12,21
114,64905,47877,213153,215160,2022,1,2021,4,12,20
115,47877,42111,213153,215160,2022,1,2021,4,12,17
116,42111,58294,213153,215160,2022,1,2021,4,12,16
117,58294,79505,213153,215160,2022,1,2021,4,12,15
118,79505,133605,213153,215160,2022,1,2021,4,12,14
119,133605,114680,213153,215160,2022,1,2021,4,12,13
120,114680,118145,213153,215160,2022,1,2021,4,12,10
121,118145,125144,213153,215160,2022,1,2021,4,12,9
122,125144,144924,213153,215160,2022,1,2021,4,12,8
123,144924,106980,213153,215160,2022,1,2021,4,12,7
124,106980,101192,213153,215160,2022,1,2021,4,12,6
125,101192,125195,213153,215160,2022,1,2021,4,12,3
126,125195,159148,213153,215160,2022,1,2021,4,12,2
127,159148,213153,213153,215160,2022,1,2021,4,12,1
128,213153,143941,278023,215160,2022,1,2021,4,11,30
129,143941,137091,278023,215160,2022,1,2021,4,11,29
130,137091,141042,278023,215160,2022,1,2021,4,11,26
131,141042,165160,278023,215160,2022,1,2021,4,11,24
132,165160,163242,278023,215160,2022,1,2021,4,11,23
133,163242,170311,278023,215160,2022,1,2021,4,11,22
134,170311,168229,278023,215160,2022,1,2021,4,11,19
135,168229,178972,278023,215160,2022,1,2021,4,11,18
136,178972,198696,278023,215160,2022,1,2021,4,11,17
137,198696,211700,278023,215160,2022,1,2021,4,11,16
138,211700,219793,278023,215160,2022,1,2021,4,11,15
139,219793,231421,278023,215160,2022,1,2021,4,11,12
140,231421,255937,278023,215160,2022,1,2021,4,11,10
141,255937,270273,278023,215160,2022,1,2021,4,11,9
142,270273,263023,278023,215160,2022,1,2021,4,11,8
143,263023,268350,278023,215160,2022,1,2021,4,11,5
144,268350,286959,278023,215160,2022,1,2021,4,11,4
145,286959,311302,278023,215160,2022,1,2021,4,11,3
146,311302,269343,278023,215160,2022,1,2021,4,11,2
