,Record_Date,Type_of_Account,Closing_Balance_Today,Opening_Balance_Today,Opening_Balance_This_Month,Opening_Balance_This_Fiscal_Year,Fiscal_Year,Fiscal_Quarter_Number,Calender_Year,Calender_Quarter_Number,Calender_Month_Number,Calender_Day_Number
1,0031-05-20,Treasury General Account (TGA),215239,854240,923240,215160,2022,3,2022,2,5,31
2,0027-05-20,Treasury General Account (TGA),854240,345844,923240,215160,2022,3,2022,2,5,27
3,0026-05-20,Treasury General Account (TGA),345844,215239,923240,215160,2022,3,2022,2,5,26
4,0025-05-20,Treasury General Account (TGA),215239,745700,923240,215160,2022,3,2022,2,5,25
5,0024-05-20,Treasury General Account (TGA),745700,18310,923240,215160,2022,3,2022,2,5,24
6,0023-05-20,Treasury General Account (TGA),18310,33930,923240,215160,2022,3,2022,2,5,23
7,0020-05-20,Treasury General Account (TGA),33930,798871,923240,215160,2022,3,2022,2,5,20
8,0019-05-20,Treasury General Account (TGA),798871,65033,923240,215160,2022,3,2022,2,5,19
9,0018-05-20,Treasury General Account (TGA),65033,121071,923240,215160,2022,3,2022,2,5,18
10,0017-05-20,Treasury General Account (TGA),121071,795388,923240,215160,2022,3,2022,2,5,17
11,0016-05-20,Treasury General Account (TGA),795388,54527,923240,215160,2022,3,2022,2,5,16
12,0013-05-20,Treasury General Account (TGA),54527,24712,923240,215160,2022,3,2022,2,5,13
13,0012-05-20,Treasury General Account (TGA),24712,812613,923240,215160,2022,3,2022,2,5,12
14,0011-05-20,Treasury General Account (TGA),812613,87958,923240,215160,2022,3,2022,2,5,11
15,0010-05-20,Treasury General Account (TGA),87958,108683,923240,215160,2022,3,2022,2,5,10
16,0009-05-20,Treasury General Account (TGA),108683,834567,923240,215160,2022,3,2022,2,5,9
17,0006-05-20,Treasury General Account (TGA),834567,38609,923240,215160,2022,3,2022,2,5,6
18,0005-05-20,Treasury General Account (TGA),38609,-5343,923240,215160,2022,3,2022,2,5,5
19,0004-05-20,Treasury General Account (TGA),-5343,834332,923240,215160,2022,3,2022,2,5,4
20,0003-05-20,Treasury General Account (TGA),834332,-5609,923240,215160,2022,3,2022,2,5,3
21,0002-05-20,Treasury General Account (TGA),-5609,68768,923240,215160,2022,3,2022,2,5,2
22,0029-04-20,Treasury General Account (TGA),68768,836033,651523,215160,2022,3,2022,2,4,29
23,0028-04-20,Treasury General Account (TGA),836033,144042,651523,215160,2022,3,2022,2,4,28
24,0027-04-20,Treasury General Account (TGA),144042,173498,651523,215160,2022,3,2022,2,4,27
25,0026-04-20,Treasury General Account (TGA),173498,905973,651523,215160,2022,3,2022,2,4,26
26,0025-04-20,Treasury General Account (TGA),905973,44973,651523,215160,2022,3,2022,2,4,25
27,0022-04-20,Treasury General Account (TGA),44973,60826,651523,215160,2022,3,2022,2,4,22
28,0021-04-20,Treasury General Account (TGA),60826,925922,651523,215160,2022,3,2022,2,4,21
29,0020-04-20,Treasury General Account (TGA),925922,126956,651523,215160,2022,3,2022,2,4,20
30,0019-04-20,Treasury General Account (TGA),126956,188178,651523,215160,2022,3,2022,2,4,19
31,0018-04-20,Treasury General Account (TGA),188178,1143572,651523,215160,2022,3,2022,2,4,18
32,0015-04-20,Treasury General Account (TGA),1143572,602292,651523,215160,2022,3,2022,2,4,15
33,0014-04-20,Treasury General Account (TGA),602292,543536,651523,215160,2022,3,2022,2,4,14
34,0013-04-20,Treasury General Account (TGA),543536,545611,651523,215160,2022,3,2022,2,4,13
35,0012-04-20,Treasury General Account (TGA),545611,564856,651523,215160,2022,3,2022,2,4,12
36,0011-04-20,Treasury General Account (TGA),564856,544736,651523,215160,2022,3,2022,2,4,11
37,0008-04-20,Treasury General Account (TGA),544736,542946,651523,215160,2022,3,2022,2,4,8
38,0007-04-20,Treasury General Account (TGA),542946,545584,651523,215160,2022,3,2022,2,4,7
39,0006-04-20,Treasury General Account (TGA),545584,542176,651523,215160,2022,3,2022,2,4,6
40,0005-04-20,Treasury General Account (TGA),542176,579607,651523,215160,2022,3,2022,2,4,5
41,0004-04-20,Treasury General Account (TGA),579607,567423,651523,215160,2022,3,2022,2,4,4
42,0001-04-20,Treasury General Account (TGA),567423,651523,651523,215160,2022,3,2022,2,4,1
43,0031-03-20,Treasury General Account (TGA),651523,556791,771264,215160,2022,2,2022,1,3,31
44,0030-03-20,Treasury General Account (TGA),556791,560968,771264,215160,2022,2,2022,1,3,30
45,0029-03-20,Treasury General Account (TGA),560968,596168,771264,215160,2022,2,2022,1,3,29
46,0028-03-20,Treasury General Account (TGA),596168,582578,771264,215160,2022,2,2022,1,3,28
47,0025-03-20,Treasury General Account (TGA),582578,563796,771264,215160,2022,2,2022,1,3,25
48,0024-03-20,Treasury General Account (TGA),563796,576442,771264,215160,2022,2,2022,1,3,24
49,0023-03-20,Treasury General Account (TGA),576442,607762,771264,215160,2022,2,2022,1,3,23
50,0022-03-20,Treasury General Account (TGA),607762,626636,771264,215160,2022,2,2022,1,3,22
51,0021-03-20,Treasury General Account (TGA),626636,622418,771264,215160,2022,2,2022,1,3,21
52,0018-03-20,Treasury General Account (TGA),622418,624216,771264,215160,2022,2,2022,1,3,18
53,0017-03-20,Treasury General Account (TGA),624216,621527,771264,215160,2022,2,2022,1,3,17
54,0016-03-20,Treasury General Account (TGA),621527,629614,771264,215160,2022,2,2022,1,3,16
55,0015-03-20,Treasury General Account (TGA),629614,567360,771264,215160,2022,2,2022,1,3,15
56,0014-03-20,Treasury General Account (TGA),567360,544592,771264,215160,2022,2,2022,1,3,14
57,0011-03-20,Treasury General Account (TGA),544592,541965,771264,215160,2022,2,2022,1,3,11
58,0010-03-20,Treasury General Account (TGA),541965,609369,771264,215160,2022,2,2022,1,3,10
59,0009-03-20,Treasury General Account (TGA),609369,645312,771264,215160,2022,2,2022,1,3,9
60,0008-03-20,Treasury General Account (TGA),645312,673387,771264,215160,2022,2,2022,1,3,8
61,0007-03-20,Treasury General Account (TGA),673387,658241,771264,215160,2022,2,2022,1,3,7
62,0004-03-20,Treasury General Account (TGA),658241,661486,771264,215160,2022,2,2022,1,3,4
63,0003-03-20,Treasury General Account (TGA),661486,685491,771264,215160,2022,2,2022,1,3,3
