Date,Time,Ecg ,Uv_Sensor,Flex,Fsr ,Pulse ,SpO2,Gyro,Strain  
27-05-2022,23:49:40,439,0.72,5,15,72,97,,
27-05-2022,23:49:38,453,0.75,4,15,80,98,,
27-05-2022,23:49:39,549,0.75,4,15,90,105,,
27-05-2022,23:49:50,522,0.72,5,15,91,91,,
27-05-2022,23:49:57,436,0.75,4,15,55,86,,
27-05-2022,23:50:11,471,0.75,3,16,79,93,,
27-05-2022,23:50:20,557,0.75,5,872,110,96,,
27-05-2022,23:50:35,508,0.75,6,456,80,100,,
27-05-2022,23:50:48,433,0.72,6,900,83,110,,
27-05-2022,23:50:57,493,0.75,4,752,59,89,,
27-05-2022,23:51:24,562,0.75,4,16,67,98,,
27-05-2022,23:51:40,493,0.75,4,924,65,97,,
27-05-2022,23:51:48,436,0.75,6,1000,45,96,,
27-05-2022,23:52:02,512,0.75,5,16,98,105,,
27-05-2022,23:52:07,560,0.75,3,987,89,111,,
27-05-2022,23:52:12,476,0.72,3,16,76,95,,
27-05-2022,23:52:21,441,0.75,4,960,78,94,,
27-05-2022,23:52:36,533,0.75,4,982,91,95,,
27-05-2022,23:52:51,556,0.75,5,16,83,90,,
27-05-2022,23:52:58,464,0.75,3,986,87,87,,
27-05-2022,23:53:13,451,0.75,5,16,,89,,
27-05-2022,23:53:30,550,0.75,4,1005,,96,,
27-05-2022,23:53:46,550,0.75,5,962,,99,,
27-05-2022,23:53:57,456,0.75,3,1024,,97,,
27-05-2022,23:54:10,462,0.72,4,1011,,92,,
27-05-2022,23:54:24,560,0.72,5,984,,,,
27-05-2022,23:54:38,534,0.75,4,1024,,,,
27-05-2022,23:54:49,446,0.75,4,1024,,,,
27-05-2022,23:54:56,476,0.75,3,1024,,,,
27-05-2022,23:55:09,566,0.75,3,1024,,,,
27-05-2022,23:55:18,519,0.75,3,986,,,,
27-05-2022,23:55:32,441,0.75,3,993,,,,
27-05-2022,23:55:40,494,0.75,5,17,,,,
27-05-2022,23:55:54,570,0.72,4,16,,,,
27-05-2022,23:56:02,507,0.75,4,16,,,,
27-05-2022,23:56:07,449,0.72,4,15,,,,
27-05-2022,23:56:18,525,0.75,3,16,,,,
27-05-2022,23:56:32,581,0.75,3,15,,,,
27-05-2022,23:56:41,507,0.75,4,15,,,,
27-05-2022,23:56:46,476,0.75,4,15,,,,
27-05-2022,23:57:00,566,0.72,5,15,,,,
27-05-2022,23:57:14,595,0.75,4,15,,,,
27-05-2022,23:57:36,505,0.72,13,1015,,,,
27-05-2022,23:57:46,478,0.75,97,1024,,,,
27-05-2022,23:57:57,568,0.78,22,1024,,,,
27-05-2022,23:58:06,569,0.75,41,1024,,,,
27-05-2022,23:58:19,473,0.75,51,1009,,,,
27-05-2022,23:58:29,474,0.72,39,872,,,,
